model,baseline,current,n_comparisons,bonferroni,n,a,b,c,d,acc1,acc2,delta,ndis,discordance,p,alert_raw,alert_bonf,alert_bonf_floor,alert_3pp,alert_5pp
gpt-4.1-mini,2026-03-08,2026-05-18,23,0.002173913043478261,300,236,3,10,51,0.7966666666666666,0.82,0.023333333333333334,13,0.043333333333333335,0.98876953125,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-05-25,23,0.002173913043478261,299,234,4,13,48,0.7959866220735786,0.8260869565217391,0.030100334448160536,17,0.056856187290969896,0.9936370849609375,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-06-01,23,0.002173913043478261,298,231,7,10,50,0.7986577181208053,0.8087248322147651,0.010067114093959731,17,0.05704697986577181,0.8338470458984375,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-06-08,23,0.002173913043478261,300,233,6,12,49,0.7966666666666666,0.8166666666666667,0.02,18,0.06,0.951873779296875,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-06-15,23,0.002173913043478261,298,226,11,10,51,0.7953020134228188,0.7919463087248322,-0.003355704697986577,21,0.07046979865771812,0.5,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-06-22,23,0.002173913043478261,299,231,7,13,48,0.7959866220735786,0.8160535117056856,0.020066889632107024,20,0.06688963210702341,0.9423408508300781,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-06-29,23,0.002173913043478261,300,233,6,10,51,0.7966666666666666,0.81,0.013333333333333334,16,0.05333333333333334,0.8949432373046875,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-07-06,23,0.002173913043478261,300,230,9,9,52,0.7966666666666666,0.7966666666666666,0.0,18,0.06,0.5927352905273438,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-07-09,23,0.002173913043478261,300,229,10,13,48,0.7966666666666666,0.8066666666666666,0.01,23,0.07666666666666666,0.7975635528564453,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-07-13,23,0.002173913043478261,300,228,11,11,50,0.7966666666666666,0.7966666666666666,0.0,22,0.07333333333333333,0.5840940475463867,0,0,0,0,0
gpt-4.1-mini,2026-03-08,2026-07-20,23,0.002173913043478261,299,230,9,8,52,0.7993311036789298,0.7959866220735786,-0.0033444816053511705,17,0.056856187290969896,0.5,0,0,0,0,0
